GFA00,Bambu PLA Basic,190,240,PLA
GFA01,Bambu PLA Matte,190,240,PLA
GFA02,Bambu PLA Metal,190,240,PLA
GFA05,Bambu PLA Silk,190,240,PLA
GFA06,Bambu PLA Silk+,190,240,PLA
GFA07,Bambu PLA Marble,190,240,PLA
GFA08,Bambu PLA Sparkle,190,240,PLA
GFA09,Bambu PLA Tough,190,240,PLA
GFA10,Bambu PLA Tough+,220,250,PLA
GFA11,Bambu PLA Aero,210,260,PLA-AERO
GFA12,Bambu PLA Glow,190,240,PLA
GFA13,Bambu PLA Dynamic,190,240,PLA
GFA15,Bambu PLA Galaxy,190,240,PLA
GFA16,Bambu PLA Wood,190,240,PLA
GFA17,Bambu PLA Translucent,190,240,PLA
GFA18,Bambu PLA Lite,190,240,PLA
GFA50,Bambu PLA-CF,210,250,PLA-CF
GFB00,Bambu ABS,240,280,ABS
GFB01,Bambu ASA,240,280,ASA
GFB02,Bambu ASA-Aero,240,280,ASA-AERO
GFB50,Bambu ABS-GF,240,280,ABS-GF
GFB51,Bambu ASA-CF,250,280,ASA-CF
GFB60,PolyLite ABS,240,280,ABS
GFB61,PolyLite ASA,240,280,ASA
GFB98,Generic ASA,240,280,ASA
GFB99,Generic ABS,240,280,ABS
GFC00,Bambu PC,260,290,PC
GFC01,Bambu PC FR,260,290,PC
GFC99,Generic PC,260,290,PC
GFG00,Bambu PETG Basic,230,270,PETG
GFG01,Bambu PETG Translucent,230,270,PETG
GFG02,Bambu PETG HF,230,270,PETG
GFG50,Bambu PETG-CF,240,270,PETG-CF
GFG60,PolyLite PETG,220,260,PETG
GFG96,Generic PETG HF,220,270,PETG
GFG97,Generic PCTG,240,270,PCTG
GFG98,Generic PETG-CF,240,270,PETG-CF
GFG99,Generic PETG,220,270,PETG
GFL00,PolyLite PLA,190,240,PLA
GFL01,PolyTerra PLA,190,240,PLA
GFL03,eSUN PLA+,190,240,PLA
GFL04,Overture PLA,190,240,PLA
GFL05,Overture Matte PLA,190,240,PLA
GFL06,Fiberon PETG-ESD,250,290,PETG
GFL50,Fiberon PA6-CF,280,300,PA6-CF
GFL51,Fiberon PA6-GF,280,300,PA-GF
GFL52,Fiberon PA12-CF,260,300,PA-CF
GFL53,Fiberon PA612-CF,260,300,PA
GFL54,Fiberon PET-CF,270,300,PET-CF
GFL55,Fiberon PETG-rCF,240,270,PETG-CF
GFL95,Generic PLA High Speed,190,240,PLA
GFL96,Generic PLA Silk,190,240,PLA
GFL98,Generic PLA-CF,190,240,PLA-CF
GFL99,Generic PLA,190,240,PLA
GFN03,Bambu PA-CF,260,300,PA-CF
GFN04,Bambu PAHT-CF,260,300,PA-CF
GFN05,Bambu PA6-CF,260,300,PA6-CF
GFN06,Bambu PPA-CF,280,320,PPA-CF
GFN08,Bambu PA6-GF,260,300,PA-GF
GFN96,Generic PPA-GF,280,320,PPA-GF
GFN97,Generic PPA-CF,280,320,PPA-CF
GFN98,Generic PA-CF,260,300,PA-CF
GFN99,Generic PA,240,280,PA
GFP95,Generic PP-GF,220,250,PP-GF
GFP96,Generic PP-CF,220,250,PP-CF
GFP97,Generic PP,220,250,PP
GFP98,Generic PE-CF,175,220,PE-CF
GFP99,Generic PE,175,220,PE
GFR98,Generic PHA,190,240,PHA
GFR99,Generic EVA,175,220,EVA
GFS00,Bambu Support W,190,240,PLA-S
GFS01,Bambu Support G,260,300,PA-S
GFS02,Bambu Support For PLA,190,240,PLA-S
GFS03,Bambu Support For PA/PET,260,300,PA-S
GFS04,Bambu PVA,210,250,PVA
GFS05,Bambu Support For PLA/PETG,190,240,PLA-S
GFS06,Bambu Support for ABS,240,270,ABS-S
GFS97,Generic BVOH,190,240,BVOH
GFS98,Generic HIPS,220,270,HIPS
GFS99,Generic PVA,190,240,PVA
GFSNL02,SUNLU PLA Matte,205,245,PLA
GFSNL03,SUNLU PLA+,190,240,PLA
GFSNL04,SUNLU PLA+ 2.0,190,240,PLA
GFSNL05,SUNLU Silk PLA+,190,240,PLA
GFSNL06,SUNLU PLA Marble,190,260,PLA
GFSNL07,SUNLU Wood PLA,195,260,PLA
GFSNL08,SUNLU PETG,230,280,PETG
GFT01,Bambu PET-CF,260,290,PET-CF
GFT02,Bambu PPS-CF,310,340,PPS-CF
GFT97,Generic PPS,300,340,PPS
GFT98,Generic PPS-CF,310,340,PPS-CF
GFU00,Bambu TPU 95A HF,200,250,TPU
GFU01,Bambu TPU 95A,200,250,TPU
GFU02,Bambu TPU for AMS,220,240,TPU-AMS
GFU03,Bambu TPU 90A,200,240,TPU
GFU04,Bambu TPU 85A,200,240,TPU
GFU98,Generic TPU for AMS,200,250,TPU-AMS
GFU99,Generic TPU,200,250,TPU
